打开QQ音乐 | com.tencent.qqmusic
打开QQ | com.tencent.mobileqq
打开微信 | com.tencent.mm
打开短信 | com.android.mms
打开京东 | com.jingdong.app.mall
用QQ音乐播放浮生未歇 | com.tencent.qqmusic
我要看诛仙青云志 | com.letv.android.client
用QQ音乐播放浮生未歇 | com.tencent.qqmusic
帮我淘宝搜索男士钱包 | com.taobao.taobao
放首歌 | com.android.music
打开遥控 | com.letv.android.remotecontrol
打开QQ音乐 | com.tencent.qqmusic
听萧敬腾的要怎么说我不爱你 | com.tencent.qqmusic
查看天气 | sina.mobile.tianqitongletv
播放音乐 | com.android.music
打开QQ | com.tencent.mobileqq
打开静音 | com.android.deskclock
打开静音 | com.android.deskclock
打开静音 | com.android.deskclock
打开QQ | com.tencent.mobileqq
打开微信 | com.tencent.mm
打开静音 | com.android.deskclock
支付宝付款 | com.eg.android.AlipayGphone
微信付款 | com.tencent.mm
打开导航 | com.autonavi.xmgd.navigator
手机百度 | com.baidu.searchbox
打开遥控 | com.letv.android.remotecontrol
打开QQ | com.tencent.mobileqq
微信支付 | com.tencent.mm
打开遥控 | com.letv.android.remotecontrol
打开指南针 | com.letv.android.compass
打开天气 | sina.mobile.tianqitongletv
帮我打开QQ | com.tencent.mobileqq
我要听歌 | com.android.music
帮我打开酷狗 | com.kugou.android
打开酷狗音乐 | com.kugou.android
打开QQ | com.tencent.mobileqq
打开电视直播 | com.lesports.glivesports
我要听追梦赤子心 | com.android.music
打开手机淘宝 | com.taobao.taobao
打开360卫士 | com.qihoo360.mobilesafe
我想听追梦赤子心 | com.android.music
打开QQ | com.tencent.mobileqq
打开相机 | com.android.camera2
放一首歌听 | com.android.music
打开微信 | com.tencent.mm
播放音乐 | com.android.music
查看京东购物车 | com.jingdong.app.mall
打开地图 | com.baidu.BaiduMap
支付宝扫一扫 | com.eg.android.AlipayGphone
支付宝扫一扫 | com.eg.android.AlipayGphone
支付宝扫一扫 | com.eg.android.AlipayGphone
支付宝扫一扫 | com.eg.android.AlipayGphone
帮我打开QQ | com.tencent.mobileqq
微信二维码付款 | com.tencent.mm
打开相机 | com.android.camera2
关闭相机 | com.android.settings
发发短信 | com.android.mms
查看天气 | sina.mobile.tianqitongletv
打开QQ | com.tencent.mobileqq
打开乐迷 | com.letv.bbs
打开QQ音乐 | com.tencent.qqmusic
打开浏览器 | com.android.browser
打开导航 | com.autonavi.xmgd.navigator
打开地图 | com.baidu.BaiduMap
打开宜搜小说 | com.esbook.reader
打开天气 | sina.mobile.tianqitongletv
帮我计时 | com.letv.android.note
打开秒表 | com.android.deskclock
计时秒表 | com.letv.android.note
开微信给李续发红包 | com.tencent.mm
打开微信发给张立祥的红包 | com.tencent.mm
拍照片 | com.android.camera2
用QQ贾松衡合发信息 | com.tencent.mobileqq
打开QQ | com.tencent.mobileqq
打开计算器 | com.android.calculator2
用QQ发信息 | com.android.mms
用QQ贾松衡恒发信息 | com.tencent.mobileqq
用QQ给贾中恒发你什么时候到学校 | com.tencent.mobileqq
查看我的朋友圈 | com.tencent.mm
查看天气 | sina.mobile.tianqitongletv
查看天气 | sina.mobile.tianqitongletv
加了帮我放一首周杰伦的歌 | com.android.music
帮我放一首张杰的歌 | com.android.music
帮我放张杰的剑心 | com.android.music
帮我放一首本兮的歌 | com.android.music
王者荣耀 | com.tencent.tmgp.sgame
打开QQ | com.tencent.mobileqq
打开音乐 | com.android.music
播放歌曲时里春风 | com.android.music
今天天气如何 | sina.mobile.tianqitongletv
关闭王者荣耀 | com.android.settings
关闭王者荣耀前瞻版 | com.android.settings
百度 | com.baidu.searchbox
打开音乐 | com.android.music
高德地图 | com.autonavi.minimap
导航 | com.autonavi.xmgd.navigator
拍照 | com.android.gallery3d
打开腾讯视频 | com.tencent.qqlive
百度一下 | com.baidu.searchbox
用QQ发消息给张成说我是他爸爸 | com.tencent.mobileqq
放一首本兮的歌 | com.android.music
打开豌豆荚 | com.wandoujia.phoenix2
下载四川移动营业厅 | com.letv.app.appstore
打开小娜 | com.microsoft.cortana
打开酷狗 | com.kugou.android
播放坚持爱你爱下去 | com.letv.android.client
帮我推荐几首歌 | com.android.music
帮我推荐几首歌 | com.android.music
打开腾讯QQ | com.tencent.mobileqq
微信扫一扫 | com.tencent.mm
设置主题 | com.letv.android.themestore
用微信告诉小舅妈是猪吗 | com.tencent.mm
嗯打开QQ | com.tencent.mobileqq
播放音乐 | com.android.music
打开微信 | com.tencent.mm
播放音乐 | com.android.music
嗯发短信给 | com.android.mms
打开QQ发送了 | com.tencent.mobileqq
打开QQ音乐 | com.tencent.qqmusic
打开QQ给附加要红包 | com.tencent.mm
关闭QQ音乐 | com.android.settings
微信扫一扫 | com.tencent.mm
优酷 | com.youku.phone
我要看甄嬛传第六集 | com.letv.android.client
用微信告诉小舅妈是个呆子 | com.tencent.mm
打开QQ | com.tencent.mobileqq
打开QQ | com.tencent.mobileqq
打开QQ | com.tencent.mobileqq
打开微信 | com.tencent.mm
给微信好友妈妈发送你好 | com.tencent.mm
打开酷狗 | com.kugou.android
我想看盗墓笔记 | com.letv.android.client
打开QQ | com.tencent.mobileqq
播放疯狂动物城 | com.letv.android.client
关闭酷狗 | com.android.settings
播放音乐春风十里 | com.android.music
播放音乐春风实力 | com.android.music
播放音乐兄弟 | com.android.music
播放音乐你好明天 | com.android.music
播放电影哆啦a梦 | com.letv.android.client
天气 | sina.mobile.tianqitongletv
打开地图 | com.baidu.BaiduMap
微信扫一扫 | com.tencent.mm
放首歌吧 | com.android.music
打开网易音乐 | com.netease.newsreader.activity
打开网易云音乐 | com.netease.cloudmusic
打开QQ | com.tencent.mobileqq
把微信给关景涛 | com.tencent.mm
发QQ消息给关机了 | com.tencent.mobileqq
打开微信朋友圈 | com.tencent.mm
放手歌曲一人饮酒醉 | com.android.music
放手歌曲 | com.android.music
放手歌曲一人饮酒醉 | com.android.music
播放少女的祈祷 | com.android.music
打开QQ对风铃只说注意休息 | com.tencent.mobileqq
打开乐视视频 | com.letv.android.client
手电筒 | com.frego.flashlight
打开遥控 | com.letv.android.remotecontrol
天气 | sina.mobile.tianqitongletv
更改语言为英文 | com.android.settings
打开QQ给老九发消息说我上她妈了个逼 | com.tencent.mobileqq
打开QQ和老九说 | com.tencent.mobileqq
打开QQ和区海滨说我是他哥 | com.tencent.mobileqq
播放音乐 | com.android.music
打开计算器 | com.android.calculator2
打开QQ | com.tencent.mobileqq
QQ | com.tencent.mobileqq
打开麒麟阅读 | com.letv.android.reader
打开起点阅读 | com.qidian.QDReader
我想听首开往早晨的午夜 | com.android.music
播放开往早晨的五夜 | com.letv.android.client
关闭乐视视频 | com.android.settings
查看天气 | sina.mobile.tianqitongletv
帮我打开QQ | com.tencent.mobileqq
你吃饭了吗 | com.dianping.v1
打开王者荣耀 | com.tencent.tmgp.sgame
播放十万个冷笑话第三季 | com.letv.android.client
QQ音乐 | com.tencent.qqmusic
打开主题商店 | com.letv.android.themestore
帮我打开QQ | com.tencent.mobileqq
打开小猿搜题 | com.fenbi.android.solar
关闭小猿搜题 | com.android.settings
明天的天气 | sina.mobile.tianqitongletv
查看淘宝购物车 | com.taobao.taobao
我想听怒放的生命 | com.android.music
我想看电影 | com.letv.android.client
打开QQ音乐 | com.tencent.qqmusic
换个主题 | com.letv.android.themestore
打开QQ | com.tencent.mobileqq
播放音乐后会无期 | com.android.music
播放徐良的后会无期 | com.android.music
来首徐良的后会无期 | com.android.music
打开王者荣耀 | com.tencent.tmgp.sgame
退出王者荣耀 | com.android.settings
退出王者荣耀 | com.android.settings
打开QQ | com.tencent.mobileqq
打开QQ | com.tencent.mobileqq
打开桌面 | com.letv.android.themestore
仅淘宝买一个避孕套 | com.taobao.taobao
打开淘宝 | com.taobao.taobao
打开淘宝搜索充电宝 | com.taobao.taobao
打开相册 | com.android.gallery3d
打开通讯录 | com.android.dialer
播放歌曲 | com.android.music
打开QQ | com.tencent.mobileqq
播放邓紫棋的歌 | com.letv.android.client
帮我充话费 | com.tencent.mm
给我放首鹿晗的歌 | com.android.music
打开闹钟 | com.android.deskclock
导航 | com.autonavi.xmgd.navigator
导航 | com.autonavi.xmgd.navigator
打开QQ神器 | com.tencent.mobileqq
打开QQ神器 | com.tencent.mobileqq
打开追书神器 | com.ushaqi.zhuishushenqi
打开录音 | com.letv.android.recorder
微博 | com.sina.weibo
打开QQ | com.tencent.mobileqq
帮我打开QQ | com.tencent.mobileqq
导航 | com.autonavi.xmgd.navigator
打开QQ邮箱 | com.tencent.androidqqmail
QQ发信息 | com.android.mms
打开微信 | com.tencent.mm
打开QQ | com.tencent.mobileqq
短信 | com.android.mms
微信扫一扫 | com.tencent.mm
录音 | com.letv.android.recorder
发微信给刘毅你是傻逼吗 | com.tencent.mm
打开微信扫一扫 | com.tencent.mm
发微博说我很开心 | com.sina.weibo
查看淘宝物流 | com.taobao.taobao
包括酷狗播放歌曲 | com.android.music
查看QQ空间 | com.qzone
打开蚂蚁森林 | com.antfortune.wealth
查看蚂蚁参林 | com.antfortune.wealth
查看蚂蚁森林 | com.antfortune.wealth
播放新歌榜 | com.android.music
播放本地音乐 | com.android.music
改语言为英文 | com.android.settings
QQ | com.tencent.mobileqq
跟他语音为英文 | com.tencent.mm
更改语言为英文 | com.android.settings
更改语言为英文 | com.android.settings
更改语言为英文 | com.android.settings
更改语言为英文 | com.android.settings
播放酷狗音乐 | com.android.music
打开扣扣音乐播放本地音乐 | com.android.music
打开酷狗音乐播放歌曲 | com.kugou.android
打开酷狗音乐播放音乐 | com.kugou.android
打开酷狗音乐播放音乐 | com.kugou.android
打开酷狗音乐播放音乐 | com.kugou.android
退出爱奇艺 | com.android.settings
打开浏览器 | com.android.browser
打开酷狗音乐搜索袁姗姗 | com.kugou.android
打开淘宝 | com.taobao.taobao
打开乐迷 | com.letv.bbs
播放音乐 | com.android.music
播放器乐 | com.letv.android.client
播放器 | com.letv.android.videoplayer
播放音乐 | com.android.music
播放音乐 | com.android.music
打开音乐播放器 | com.android.music
打开微信 | com.tencent.mm
打开QQ音乐 | com.tencent.qqmusic
我想看一下乐视的新品发布会 | com.letv.android.client
我想看乐视的新品发布会 | com.letv.android.client
打开QQ | com.tencent.mobileqq
打开优酷 | com.youku.phone
打开音乐 | com.android.music
放一首歌 | com.android.music
播放本地歌曲 | com.android.music
刚开虎牙直播 | com.duowan.kiwi
播放音乐 | com.android.music
打开QQ朋友圈 | com.tencent.mm
打开微信朋友圈 | com.tencent.mm
打开QQ付款吗 | com.tencent.mobileqq
帮我放一首本兮的歌 | com.android.music
打开微信 | com.tencent.mm
打开QQ | com.tencent.mobileqq
打开美拍 | com.meitu.meipaimv
打开QQ给唱唱 | com.tencent.mobileqq
打开微信给查找发送cam | com.tencent.mm
用微信给畅畅发送cam | com.tencent.mm
用微信给畅畅cnm | com.tencent.mm
用微信给看场发送cam | com.tencent.mm
支付宝扫一扫 | com.eg.android.AlipayGphone
支付宝扫一扫 | com.eg.android.AlipayGphone
更改语言为英文 | com.android.settings
更改语言为英文 | com.android.settings
支付宝扫一扫 | com.eg.android.AlipayGphone
更改语言为英文 | com.android.settings
用微信给看场发送cnm | com.tencent.mm
用微信给畅畅发送cnm | com.tencent.mm
用微信给畅畅说cnm | com.tencent.mm
发QQ给唱唱看 | com.tencent.mobileqq
发QQ给金佳伟cam流量 | com.tencent.mobileqq
用QQ发短信给快乐大本营说你好 | co.lvdou.livewallpaper.ld347002
打开乐迷 | com.letv.bbs
播放音乐 | com.android.music
播放本地音乐 | com.android.music
播放本地音乐 | com.android.music
发微信给畅畅 | com.tencent.mm
发微信给畅畅哦 | com.tencent.mm
发微信给畅畅说哦 | com.tencent.mm
发微信给畅畅说哦 | com.tencent.mm
发微信给畅畅说哦 | com.tencent.mm
打开QQ音乐 | com.tencent.qqmusic
打开美拍 | com.meitu.meipaimv
打开QQ软件 | com.tencent.mobileqq
打开QQ | com.tencent.mobileqq
设置主题 | com.letv.android.themestore
给刘毅发微信视频 | com.tencent.mm
播放音乐 | com.android.music
和刘毅微信视频聊天 | com.tencent.mm
播放音乐 | com.android.music
查看QQ邮箱 | com.tencent.androidqqmail
打开酷狗 | com.kugou.android
打开酷狗音乐 | com.kugou.android
打开乐迷社区 | com.letv.bbs
微信朋友圈 | com.tencent.mm
打开QQ | com.tencent.mobileqq
播放电台 | com.android.music
给浩哥发QQ | com.tencent.mobileqq
打开支付宝 | com.eg.android.AlipayGphone
打开微信 | com.tencent.mm
逆战 | com.tencent.gamehelper.nz
给王芳发的红包了吗 | com.tencent.mm
打开音乐 | com.android.music
微信二维码付款 | com.tencent.mm
播放音乐 | com.android.music
更改英文 | com.android.settings
更改中文 | com.android.settings
发短信 | com.android.mms
打开陈艳玲的朋友圈 | com.tencent.mm
微信摇一摇 | com.tencent.mm
打开音乐播放器 | com.android.music
关闭导航 | com.android.settings
打开微信 | com.tencent.mm
打开相机 | com.android.camera2
打开微信给王月寒发红包 | com.tencent.mm
帮我放一首兄弟抱一下 | com.android.music
设置主题 | com.letv.android.themestore
打开微信 | com.tencent.mm
播放本地音乐 | com.android.music
打开QQ | com.tencent.mobileqq
嗯啊就关闭QQ | com.android.settings
打开微信扫一扫 | com.tencent.mm
微信付款 | com.tencent.mm
今天会下雨吗 | sina.mobile.tianqitongletv
打开QQ浏览器进入百度 | com.tencent.mtt
微信扫一扫 | com.tencent.mm
打开腾讯视频 | com.tencent.qqlive
我要听本兮的歌 | com.android.music
打开微信朋友圈 | com.tencent.mm
你吃饭了吗 | com.dianping.v1
打开wifi万能钥匙 | com.snda.wifilocating
打开QQ | com.tencent.mobileqq
打开支付宝 | com.eg.android.AlipayGphone
微信字体大小 | com.tencent.mm
创建微信群 | com.tencent.mm
查看微信下载文件 | com.letv.android.filemanager
查看QQ下载文件 | com.letv.app.appstore
打开管家 | com.letv.android.supermanager
天气 | sina.mobile.tianqitongletv
下载四川移动掌上营业厅 | com.sunrise.scmbhc
打开QQ | com.tencent.mobileqq
打开浏览器 | com.android.browser
腾讯地图 | com.tencent.map
腾讯地图 | com.tencent.map
用乐视视频搜索 | com.letv.android.client
用乐视视频搜索音乐工坊零三十八 | com.letv.android.client
打开微信 | com.tencent.mm
打开网易音乐 | com.netease.newsreader.activity
打开信息 | com.android.mms
打开伞飞软件 | com.android.deskclock
打开乐视视频 | com.letv.android.client
打开花儿 | com.esnet.flower
拍摄照片 | com.android.camera2
打开QQ | com.tencent.mobileqq
打开遥控 | com.letv.android.remotecontrol
打开QQ | com.tencent.mobileqq
打开微信 | com.tencent.mm
打开遥控 | com.letv.android.remotecontrol
更改语言成中文 | com.android.settings
打开手机QQ给晋南发信息 | com.tencent.mobileqq
用QQ给丁楠发信息 | com.tencent.mobileqq
播放扑克菲斯 | com.letv.android.client
打开互动作业 | com.v.study
打开互动作业 | com.v.study
酷我音乐 | cn.kuwo.player
播放最近音乐 | com.android.music
打开QQ | com.tencent.mobileqq
下了用微信发给杰哥我的位置 | com.tencent.mm
我要用微信发给杰哥我的地理位置 | com.tencent.mm
你好想了我想看一下最新上市的电影 | com.letv.android.client
我想看速度与激情 | com.letv.android.client
打开QQ给何雪冰说我是他爸爸 | com.tencent.mobileqq
查看QQ文件 | com.tencent.mobileqq
播放本地音乐 | com.android.music
酷狗音乐播放本地歌曲 | com.kugou.android
播放本地音乐 | com.android.music
播放本地音乐 | com.android.music
播放本地音乐 | com.android.music
打开QQ | com.tencent.mobileqq
搜索支付宝 | com.eg.android.AlipayGphone
我要买车票 | ctrip.android.view
打开音乐 | com.android.music
打开腾讯视频 | com.tencent.qqlive
打开卫星花朋友圈 | com.tencent.mm
打开QQ | com.tencent.mobileqq
打开qq发信息给老婆 | com.tencent.mobileqq
打开卫星花朋友圈 | com.tencent.mm
打开QQ发信息给冰妍 | com.tencent.mobileqq
打开QQ发信息给冰哦 | com.tencent.mobileqq
打开QQ发信息给冰儿说你好 | com.tencent.mobileqq
打开微信 | com.tencent.mm
打开京东 | com.jingdong.app.mall
QQ跟老婆说你好 | com.tencent.mobileqq
QQ跟老婆说今天要不要买菜 | com.tencent.mobileqq
QQ跟老婆说你好 | com.tencent.mobileqq
打开桌面 | com.letv.android.themestore
打开腾讯视频 | com.tencent.qqlive
打开遥控器 | com.duokan.phone.remotecontroller
打开遥控 | com.letv.android.remotecontrol
管家 | com.letv.android.supermanager
打开QQ和微信 | com.tencent.mobileqq
打开文件管理 | com.letv.android.filemanager
我想看乐视的最新新闻报道 | com.letv.android.client
我想看一下乐视的股票 | com.letv.android.client
今日头条帮我搜索一下乐视的新闻 | com.ss.android.article.news
用乐视视频搜索乐视手机新品发布会 | com.letv.android.client
友乐视视频搜索123 | com.letv.android.client
优乐视视频搜索123 | com.letv.android.client
百度搜索乐视 | com.letv.android.client
用乐视视频搜索123 | com.letv.android.client
百度搜索乐视 | com.letv.android.client
用百度搜索了试 | com.baidu.searchbox
微信发红包给陈永恒 | com.tencent.mm
用QQ给刘炽平发短信 | com.tencent.mobileqq
用乐视视频搜索一下 | com.letv.android.client
打开网页音乐 | com.android.music
发微信给陈艳玲说有什么好看的电视剧 | com.tencent.mm
播放乐视 | com.letv.android.client
打开网易云音乐 | com.netease.cloudmusic
播放速度与惊情第一部 | com.letv.android.client
播放情圣 | com.letv.android.client
打开乐视商城 | com.letv.letvshop
打开桌面 | com.letv.android.themestore
用爱奇艺搜索123 | com.qiyi.video
用爱奇艺搜索123 | com.qiyi.video
用爱奇艺搜索123 | com.qiyi.video
打开追书神器 | com.ushaqi.zhuishushenqi
打开play商店 | com.playalot.Play
打开QQ安全中心 | com.tencent.token
打开短信搜索 | com.android.mms
打开短信搜索 | com.android.mms
打开遥控 | com.letv.android.remotecontrol
腾讯视频看123 | com.tencent.qqlive
打开QQ给住户发消息说马上到 | com.tencent.mobileqq
发红包 | com.tencent.mm
打开QQ | com.tencent.mobileqq
打开微信 | com.tencent.mm
文件管理 | com.letv.android.filemanager
打开QQ | com.tencent.mobileqq
用乐视视频搜索123 | com.letv.android.client
用乐视视频搜索123 | com.letv.android.client
爱奇艺打开本地视频 | com.qiyi.video
支付宝转账123 | com.eg.android.AlipayGphone
支付宝转账123 | com.eg.android.AlipayGphone
打开优酷 | com.youku.phone
乐视视频搜索123 | com.letv.android.client
打开QQ | com.tencent.mobileqq
QQ音乐播放风景旧曾谙 | com.tencent.qqmusic
打开微信朋友圈 | com.tencent.mm
打开淘宝购物车 | com.taobao.taobao
QQ音乐播放巴赫旧约 | com.tencent.qqmusic
QQ音乐播放巴赫旧约 | com.tencent.qqmusic
打开微博 | com.sina.weibo
QQ音乐播放巴赫旧约 | com.tencent.qqmusic
查看淘宝物流 | com.taobao.taobao
查看淘宝物流 | com.taobao.taobao
淘宝搜索棉衣男 | com.taobao.taobao
进入QQ音乐播放冷漠的歌 | com.tencent.qqmusic
用QQ音乐搜索冷漠 | com.tencent.qqmusic
用QQ音乐搜索冷漠的歌 | com.tencent.qqmusic
用音乐播放冷漠的歌 | com.android.music
打开五月号的朋友圈 | com.tencent.mm
用音乐搜索冷漠 | com.android.music
用音乐搜索冷漠 | com.android.music
打开五月号的朋友圈 | com.tencent.mm
打开王颖的朋友圈 | com.tencent.mm
用QQ音乐搜索庄心妍 | com.tencent.qqmusic
用网易有道词典搜索123 | com.youdao.dict
用网易有道词典搜索123 | com.youdao.dict
小乐给王颖的朋友圈点赞 | com.tencent.mm
打开系统更新 | com.letv.android.ota
打开百度功能 | com.baidu.searchbox
在手机京东上买手机 | com.jingdong.app.mall
播放新歌榜 | com.android.music
打开淘宝 | com.taobao.taobao
QQ扫一扫 | com.tencent.mm
QQ扫一扫 | com.tencent.mm
QQ扫一扫 | com.tencent.mm
QQ扫一扫 | com.tencent.mm
打开QQ扫一扫 | com.tencent.mm
发QQ红包吴凡法 | com.tencent.mm
我要发QQ红包 | com.tencent.mm
我要发QQ红包 | com.tencent.mm
发QQ说说 | com.tencent.mobileqq
发QQ说说 | com.tencent.mobileqq
关掉微信 | com.android.settings
用乐视视频搜索乐视手机新品发布会 | com.letv.android.client
用乐视视频搜索123 | com.letv.android.client
乐视视频搜索超级手机发布会 | com.letv.android.client
看妈祖第27集 | com.letv.android.client
看妈祖第27集 | com.letv.android.client
看妈祖第27集 | com.letv.android.client
看妈祖第27集 | com.letv.android.client
导航 | com.autonavi.xmgd.navigator
支付宝扫一扫 | com.eg.android.AlipayGphone
支付宝扫一扫 | com.eg.android.AlipayGphone
打开QQ音乐 | com.tencent.qqmusic
打开豌豆荚 | com.wandoujia.phoenix2
打开计算器 | com.android.calculator2
打开QQ | com.tencent.mobileqq
打开计算器 | com.android.calculator2
打开豌豆荚 | com.wandoujia.phoenix2
给我随便放首歌 | com.android.music
打开QQ音乐 | com.tencent.qqmusic
打开酷狗 | com.kugou.android
帮我打开QQ音乐 | com.tencent.qqmusic
微信充值话费 | com.tencent.mm
打开QQ | com.tencent.mobileqq
播放音乐 | com.android.music
使用乐视视频搜索乐视手机新品发布会 | com.letv.android.client
我要看乐视手机新品发布会 | com.letv.android.client
我要看乐视手机新品发布会 | com.letv.android.client
我要看孤芳不自赏 | com.letv.android.client
我要看孤芳不自赏 | com.letv.android.client
操你妈打开QQ音乐 | com.tencent.qqmusic
打开照相机 | com.android.camera2
查看天气 | sina.mobile.tianqitongletv
打开音乐 | com.android.music
淘宝搜索睡衣情侣 | com.taobao.taobao
放首歌 | com.android.music
打开百词斩 | com.jiongji.andriod.card
打开本地音乐 | com.android.music
播放本地音乐 | com.android.music
打开QQ | com.tencent.mobileqq
打开联系人 | com.android.dialer
打开微信 | com.tencent.mm
关闭微信 | com.android.settings
打开微信 | com.tencent.mm
关闭微信 | com.android.settings
打开王者荣耀 | com.tencent.tmgp.sgame
我要看乐视手机发布会 | com.letv.android.client
帮我打开相机 | com.android.camera2
打开短信可以吗 | com.android.mms
今天天气怎么样 | sina.mobile.tianqitongletv
帮我打开QQ | com.tencent.mobileqq
打开QQ | com.tencent.mobileqq
打开相机 | com.android.camera2
打开QQ | com.tencent.mobileqq
微信二维码付款 | com.tencent.mm
打开应用商店 | com.letv.app.appstore
打开应用商店 | com.letv.app.appstore
QQ | com.tencent.mobileqq
打开美团 | com.sankuai.meituan
播放音乐 | com.android.music
查看天气 | sina.mobile.tianqitongletv
我要看黄片 | com.letv.android.client
我要看黄片 | com.letv.android.client
我要看黄色小说 | com.letv.android.client
为微信付款 | com.tencent.mm
查看地图 | com.baidu.BaiduMap
外卖 | com.baidu.lbs.waimai
打开快手 | com.smile.gifmaker
拍照 | com.android.gallery3d
打开后台控制中心 | com.android.settings
打开闹钟 | com.android.deskclock
开启便携式热点 | com.android.settings
开启个人热点 | com.android.settings
打开王者荣耀 | com.tencent.tmgp.sgame
打开QQ | com.tencent.mobileqq
打开微信 | com.tencent.mm
打开QQ发消息给江西电信 | com.tencent.mobileqq
打开微信发消息给江西电信 | com.tencent.mm
打开万能钥匙 | com.snda.wifilocating
打开QQ | com.tencent.mobileqq
播放音乐 | com.android.music
我要听菊花台 | com.android.music
我要看正者无敌 | com.letv.android.client
打开王者荣耀 | com.tencent.tmgp.sgame
打开王者荣耀 | com.tencent.tmgp.sgame
打开网易云音乐 | com.netease.cloudmusic
我打开QQ发消息给大聪 | com.tencent.mobileqq
明天九点去北京的车票 | ctrip.android.view
打开QQ音乐 | com.tencent.qqmusic
打开网QQ | com.tencent.mobileqq
今天天气怎么样 | sina.mobile.tianqitongletv
打开微信 | com.tencent.mm
打开QQ | com.tencent.mobileqq
看一下万里的微信朋友圈 | com.tencent.mm
发微信给老婆说你在干嘛 | com.tencent.mm
发微信给诗诗说你在干嘛 | com.tencent.mm
放手歌曲 | com.android.music
打开QQ | com.tencent.mobileqq
播放播放孤芳不自赏 | com.letv.android.client
王者荣耀 | com.tencent.tmgp.sgame
通讯录 | com.qihoo360.contacts
打开通讯录 | com.android.dialer
打开QQ | com.tencent.mobileqq
打开QQ群 | com.tencent.mm
发短信 | com.android.mms
打开微信朋友圈 | com.tencent.mm
打开图库 | com.android.gallery3d
打开QQ | com.tencent.mobileqq
打开我的相机 | com.android.camera2
打开微信 | com.tencent.mm
微信 | com.tencent.mm
微信 | com.tencent.mm
打开微信 | com.tencent.mm
打开微信 | com.tencent.mm
QQ | com.tencent.mobileqq
QQ | com.tencent.mobileqq
搜索百度云 | com.baidu.netdisk
打开微信 | com.tencent.mm
打开微信 | com.tencent.mm
打开微信 | com.tencent.mm
我想看乐视视频 | com.letv.android.client
日历 | com.android.calendar
地图 | com.baidu.BaiduMap
帮我记下明天晚上六点吃饭 | com.letv.android.note
播放tfboys的速度 | com.letv.android.client
播放王俊凯的速度 | com.android.music
微信扫一扫 | com.tencent.mm
微信扫一扫 | com.tencent.mm
打开闹钟 | com.android.deskclock
查看天气 | sina.mobile.tianqitongletv
手电筒 | com.frego.flashlight
手电筒 | com.frego.flashlight
微信扫一扫 | com.tencent.mm
打开QQ | com.tencent.mobileqq
去微信给阿旗发红包 | com.tencent.mm
打开清悠阅读 | com.letv.android.reader
打开微博 | com.sina.weibo
拍照片 | com.android.camera2
打开应用商店 | com.letv.app.appstore
音乐 | com.android.music
打开应用商店下载1cho | com.letv.app.appstore
打开音乐 | com.android.music
微信二维码付款 | com.tencent.mm
打开喜马拉雅 | com.ximalaya.ting.android
打开QQ | com.tencent.mobileqq
打开闹钟 | com.android.deskclock
打开微信 | com.tencent.mm
播放盛夏的果实 | com.android.music
播放音乐 | com.android.music
发消息给他看下 | com.tencent.mm
播放盛夏的果实 | com.android.music
播放当前曲目 | com.letv.android.client
迅雷 | com.xunlei.downloadprovider
打开QQ | com.tencent.mobileqq
系统更新 | com.letv.android.ota
查看天气 | sina.mobile.tianqitongletv
放手歌曲一万个舍不得 | com.android.music
打开手机QQ | com.tencent.mobileqq
