打开QQ音乐 | QQ音乐
打开音乐 | 音乐
播放歌曲时里春风 | 音乐
今天天气如何 | 天气
关闭王者荣耀 | 设置
关闭王者荣耀前瞻版 | 设置
百度 | 手机百度
打开音乐 | 音乐
高德地图 | 高德地图
导航 | 高德导航
拍照 | 相册
打开腾讯视频 | 腾讯视频
百度一下 | 手机百度
用QQ发消息给张成说我是他爸爸 | QQ
放一首本兮的歌 | 音乐
打开豌豆荚 | 豌豆荚
下载四川移动营业厅 | 应用商店
打开小娜 | 微软小娜
打开酷狗 | 酷狗音乐
播放坚持爱你爱下去 | 乐视视频
帮我推荐几首歌 | 音乐
帮我推荐几首歌 | 音乐
打开腾讯QQ | QQ
微信扫一扫 | 微信
设置主题 | 主题商店
用微信告诉小舅妈是猪吗 | 微信
嗯打开QQ | QQ
播放音乐 | 音乐
打开微信 | 微信
播放音乐 | 音乐
嗯发短信给 | 信息
打开QQ发送了 | QQ
打开QQ音乐 | QQ音乐
打开QQ给附加要红包 | 微信
关闭QQ音乐 | 设置
微信扫一扫 | 微信
优酷 | 优酷视频
我要看甄嬛传第六集 | 乐视视频
用微信告诉小舅妈是个呆子 | 微信
打开QQ | QQ
打开QQ | QQ
打开QQ | QQ
打开微信 | 微信
给微信好友妈妈发送你好 | 微信
打开酷狗 | 酷狗音乐
我想看盗墓笔记 | 乐视视频
打开QQ | QQ
播放疯狂动物城 | 乐视视频
关闭酷狗 | 设置
播放音乐春风十里 | 音乐
播放音乐春风实力 | 音乐
播放音乐兄弟 | 音乐
播放音乐你好明天 | 音乐
播放电影哆啦a梦 | 乐视视频
天气 | 天气
打开地图 | 百度地图
微信扫一扫 | 微信
放首歌吧 | 音乐
打开网易音乐 | 网易新闻
打开网易云音乐 | 网易云音乐
打开QQ | QQ
把微信给关景涛 | 微信
发QQ消息给关机了 | QQ
打开微信朋友圈 | 微信
放手歌曲一人饮酒醉 | 音乐
放手歌曲 | 音乐
放手歌曲一人饮酒醉 | 音乐
播放少女的祈祷 | 音乐
打开QQ对风铃只说注意休息 | QQ
打开乐视视频 | 乐视视频
手电筒 | 手电筒
打开遥控 | 遥控器
天气 | 天气
更改语言为英文 | 设置
打开QQ给老九发消息说我上她妈了个逼 | QQ
打开QQ和老九说 | QQ
打开QQ和区海滨说我是他哥 | QQ
播放音乐 | 音乐
打开计算器 | 计算器
打开QQ | QQ
QQ | QQ
打开麒麟阅读 | 阅读
打开起点阅读 | 起点读书
我想听首开往早晨的午夜 | 音乐
播放开往早晨的五夜 | 乐视视频
关闭乐视视频 | 设置
查看天气 | 天气
帮我打开QQ | QQ
你吃饭了吗 | 大众点评
打开王者荣耀 | 王者荣耀
播放十万个冷笑话第三季 | 乐视视频
QQ音乐 | QQ音乐
打开主题商店 | 主题商店
帮我打开QQ | QQ
打开小猿搜题 | 小猿搜题
关闭小猿搜题 | 设置
明天的天气 | 天气
查看淘宝购物车 | 手机淘宝
我想听怒放的生命 | 音乐
我想看电影 | 乐视视频
打开QQ音乐 | QQ音乐
换个主题 | 主题商店
打开QQ | QQ
播放音乐后会无期 | 音乐
播放徐良的后会无期 | 音乐
来首徐良的后会无期 | 音乐
打开王者荣耀 | 王者荣耀
退出王者荣耀 | 设置
退出王者荣耀 | 设置
打开QQ | QQ
打开QQ | QQ
打开桌面 | 主题商店
仅淘宝买一个避孕套 | 手机淘宝
打开淘宝 | 手机淘宝
打开淘宝搜索充电宝 | 手机淘宝
打开相册 | 相册
打开通讯录 | 拨号
播放歌曲 | 音乐
打开QQ | QQ
播放邓紫棋的歌 | 乐视视频
帮我充话费 | 微信
给我放首鹿晗的歌 | 音乐
打开闹钟 | 闹钟
导航 | 高德导航
导航 | 高德导航
打开QQ神器 | QQ
打开QQ神器 | QQ
打开追书神器 | 追书神器
打开录音 | 录音机
微博 | 新浪微博
打开QQ | QQ
帮我打开QQ | QQ
导航 | 高德导航
打开QQ邮箱 | QQ邮箱
QQ发信息 | 信息
打开微信 | 微信
打开QQ | QQ
短信 | 信息
微信扫一扫 | 微信
录音 | 录音机
发微信给刘毅你是傻逼吗 | 微信
打开微信扫一扫 | 微信
发微博说我很开心 | 新浪微博
查看淘宝物流 | 手机淘宝
包括酷狗播放歌曲 | 音乐
查看QQ空间 | QQ空间
打开蚂蚁森林 | 蚂蚁聚宝
查看蚂蚁参林 | 蚂蚁聚宝
查看蚂蚁森林 | 蚂蚁聚宝
播放新歌榜 | 音乐
播放本地音乐 | 音乐
改语言为英文 | 设置
QQ | QQ
跟他语音为英文 | 微信
更改语言为英文 | 设置
更改语言为英文 | 设置
更改语言为英文 | 设置
更改语言为英文 | 设置
播放酷狗音乐 | 音乐
打开扣扣音乐播放本地音乐 | 音乐
打开酷狗音乐播放歌曲 | 酷狗音乐
打开酷狗音乐播放音乐 | 酷狗音乐
打开酷狗音乐播放音乐 | 酷狗音乐
打开酷狗音乐播放音乐 | 酷狗音乐
退出爱奇艺 | 设置
打开浏览器 | 浏览器
打开酷狗音乐搜索袁姗姗 | 酷狗音乐
打开淘宝 | 手机淘宝
打开乐迷 | 乐迷
播放音乐 | 音乐
播放器乐 | 乐视视频
播放器 | 播放器
播放音乐 | 音乐
播放音乐 | 音乐
打开音乐播放器 | 音乐
打开微信 | 微信
打开QQ音乐 | QQ音乐
我想看一下乐视的新品发布会 | 乐视视频
我想看乐视的新品发布会 | 乐视视频
打开QQ | QQ
打开优酷 | 优酷视频
打开音乐 | 音乐
放一首歌 | 音乐
播放本地歌曲 | 音乐
刚开虎牙直播 | 虎牙直播
播放音乐 | 音乐
打开QQ朋友圈 | 微信
打开微信朋友圈 | 微信
打开QQ付款吗 | QQ
帮我放一首本兮的歌 | 音乐
打开微信 | 微信
打开QQ | QQ
打开美拍 | 美拍
打开QQ给唱唱 | QQ
打开微信给查找发送cam | 微信
用微信给畅畅发送cam | 微信
用微信给畅畅cnm | 微信
用微信给看场发送cam | 微信
支付宝扫一扫 | 支付宝
支付宝扫一扫 | 支付宝
更改语言为英文 | 设置
更改语言为英文 | 设置
支付宝扫一扫 | 支付宝
更改语言为英文 | 设置
用微信给看场发送cnm | 微信
用微信给畅畅发送cnm | 微信
用微信给畅畅说cnm | 微信
发QQ给唱唱看 | QQ
发QQ给金佳伟cam流量 | QQ
用QQ发短信给快乐大本营说你好 | 快乐大本营
打开乐迷 | 乐迷
播放音乐 | 音乐
播放本地音乐 | 音乐
播放本地音乐 | 音乐
发微信给畅畅 | 微信
发微信给畅畅哦 | 微信
发微信给畅畅说哦 | 微信
发微信给畅畅说哦 | 微信
发微信给畅畅说哦 | 微信
打开QQ音乐 | QQ音乐
打开美拍 | 美拍
打开QQ软件 | QQ
打开QQ | QQ
设置主题 | 主题商店
给刘毅发微信视频 | 微信
播放音乐 | 音乐
和刘毅微信视频聊天 | 微信
播放音乐 | 音乐
查看QQ邮箱 | QQ邮箱
打开酷狗 | 酷狗音乐
打开酷狗音乐 | 酷狗音乐
打开乐迷社区 | 乐迷
微信朋友圈 | 微信
打开QQ | QQ
播放电台 | 音乐
给浩哥发QQ | QQ
打开支付宝 | 支付宝
打开微信 | 微信
逆战 | 逆战助手
给王芳发的红包了吗 | 微信
打开音乐 | 音乐
微信二维码付款 | 微信
播放音乐 | 音乐
更改英文 | 设置
更改中文 | 设置
发短信 | 信息
打开陈艳玲的朋友圈 | 微信
微信摇一摇 | 微信
打开音乐播放器 | 音乐
关闭导航 | 设置
打开微信 | 微信
打开相机 | 相机
打开微信给王月寒发红包 | 微信
帮我放一首兄弟抱一下 | 音乐
设置主题 | 主题商店
打开微信 | 微信
播放本地音乐 | 音乐
打开QQ | QQ
嗯啊就关闭QQ | 设置
打开微信扫一扫 | 微信
微信付款 | 微信
今天会下雨吗 | 天气
打开QQ浏览器进入百度 | QQ浏览器
微信扫一扫 | 微信
打开腾讯视频 | 腾讯视频
我要听本兮的歌 | 音乐
打开微信朋友圈 | 微信
你吃饭了吗 | 大众点评
打开wifi万能钥匙 | WiFi万能钥匙
打开QQ | QQ
打开支付宝 | 支付宝
微信字体大小 | 微信
创建微信群 | 微信
查看微信下载文件 | 文件管理
查看QQ下载文件 | 应用商店
打开管家 | 管家
天气 | 天气
下载四川移动掌上营业厅 | 四川移动掌上营业厅
打开QQ | QQ
打开浏览器 | 浏览器
腾讯地图 | 腾讯地图
腾讯地图 | 腾讯地图
用乐视视频搜索 | 乐视视频
用乐视视频搜索音乐工坊零三十八 | 乐视视频
打开微信 | 微信
打开网易音乐 | 网易新闻
打开信息 | 信息
打开伞飞软件 | 闹钟
打开乐视视频 | 乐视视频
打开花儿 | 花儿
拍摄照片 | 相机
打开QQ | QQ
打开遥控 | 遥控器
打开QQ | QQ
打开微信 | 微信
打开遥控 | 遥控器
更改语言成中文 | 设置
打开手机QQ给晋南发信息 | QQ
用QQ给丁楠发信息 | QQ
播放扑克菲斯 | 乐视视频
打开互动作业 | 互动作业
打开互动作业 | 互动作业
酷我音乐 | 酷我音乐
播放最近音乐 | 音乐
打开QQ | QQ
下了用微信发给杰哥我的位置 | 微信
我要用微信发给杰哥我的地理位置 | 微信
你好想了我想看一下最新上市的电影 | 乐视视频
我想看速度与激情 | 乐视视频
打开QQ给何雪冰说我是他爸爸 | QQ
查看QQ文件 | QQ
播放本地音乐 | 音乐
酷狗音乐播放本地歌曲 | 酷狗音乐
播放本地音乐 | 音乐
播放本地音乐 | 音乐
播放本地音乐 | 音乐
打开QQ | QQ
搜索支付宝 | 支付宝
我要买车票 | 携程旅行
打开音乐 | 音乐
打开腾讯视频 | 腾讯视频
打开卫星花朋友圈 | 微信
打开QQ | QQ
打开qq发信息给老婆 | QQ
打开卫星花朋友圈 | 微信
打开QQ发信息给冰妍 | QQ
打开QQ发信息给冰哦 | QQ
打开QQ发信息给冰儿说你好 | QQ
打开微信 | 微信
打开京东 | 京东
QQ跟老婆说你好 | QQ
QQ跟老婆说今天要不要买菜 | QQ
QQ跟老婆说你好 | QQ
打开桌面 | 主题商店
打开腾讯视频 | 腾讯视频
打开遥控器 | 小米遥控器
打开遥控 | 遥控器
管家 | 管家
打开QQ和微信 | QQ
打开文件管理 | 文件管理
我想看乐视的最新新闻报道 | 乐视视频
我想看一下乐视的股票 | 乐视视频
今日头条帮我搜索一下乐视的新闻 | 今日头条
用乐视视频搜索乐视手机新品发布会 | 乐视视频
友乐视视频搜索123 | 乐视视频
优乐视视频搜索123 | 乐视视频
百度搜索乐视 | 乐视视频
用乐视视频搜索123 | 乐视视频
百度搜索乐视 | 乐视视频
用百度搜索了试 | 手机百度
微信发红包给陈永恒 | 微信
用QQ给刘炽平发短信 | QQ
用乐视视频搜索一下 | 乐视视频
打开网页音乐 | 音乐
发微信给陈艳玲说有什么好看的电视剧 | 微信
播放乐视 | 乐视视频
打开网易云音乐 | 网易云音乐
播放速度与惊情第一部 | 乐视视频
播放情圣 | 乐视视频
打开乐视商城 | 乐视商城
打开桌面 | 主题商店
用爱奇艺搜索123 | 爱奇艺
用爱奇艺搜索123 | 爱奇艺
用爱奇艺搜索123 | 爱奇艺
打开追书神器 | 追书神器
打开play商店 | Play
打开QQ安全中心 | QQ安全中心
打开短信搜索 | 信息
打开短信搜索 | 信息
打开遥控 | 遥控器
腾讯视频看123 | 腾讯视频
打开QQ给住户发消息说马上到 | QQ
发红包 | 微信
打开QQ | QQ
打开微信 | 微信
文件管理 | 文件管理
打开QQ | QQ
用乐视视频搜索123 | 乐视视频
用乐视视频搜索123 | 乐视视频
爱奇艺打开本地视频 | 爱奇艺
支付宝转账123 | 支付宝
支付宝转账123 | 支付宝
打开优酷 | 优酷视频
乐视视频搜索123 | 乐视视频
打开QQ | QQ
QQ音乐播放风景旧曾谙 | QQ音乐
打开微信朋友圈 | 微信
打开淘宝购物车 | 手机淘宝
QQ音乐播放巴赫旧约 | QQ音乐
QQ音乐播放巴赫旧约 | QQ音乐
打开微博 | 新浪微博
QQ音乐播放巴赫旧约 | QQ音乐
查看淘宝物流 | 手机淘宝
查看淘宝物流 | 手机淘宝
淘宝搜索棉衣男 | 手机淘宝
进入QQ音乐播放冷漠的歌 | QQ音乐
用QQ音乐搜索冷漠 | QQ音乐
用QQ音乐搜索冷漠的歌 | QQ音乐
用音乐播放冷漠的歌 | 音乐
打开五月号的朋友圈 | 微信
用音乐搜索冷漠 | 音乐
用音乐搜索冷漠 | 音乐
打开五月号的朋友圈 | 微信
打开王颖的朋友圈 | 微信
用QQ音乐搜索庄心妍 | QQ音乐
用网易有道词典搜索123 | 有道词典
用网易有道词典搜索123 | 有道词典
小乐给王颖的朋友圈点赞 | 微信
打开系统更新 | 系统更新
打开百度功能 | 手机百度
在手机京东上买手机 | 京东
播放新歌榜 | 音乐
打开淘宝 | 手机淘宝
QQ扫一扫 | 微信
QQ扫一扫 | 微信
QQ扫一扫 | 微信
QQ扫一扫 | 微信
打开QQ扫一扫 | 微信
发QQ红包吴凡法 | 微信
我要发QQ红包 | 微信
我要发QQ红包 | 微信
发QQ说说 | QQ
发QQ说说 | QQ
关掉微信 | 设置
用乐视视频搜索乐视手机新品发布会 | 乐视视频
用乐视视频搜索123 | 乐视视频
乐视视频搜索超级手机发布会 | 乐视视频
看妈祖第27集 | 乐视视频
看妈祖第27集 | 乐视视频
看妈祖第27集 | 乐视视频
看妈祖第27集 | 乐视视频
导航 | 高德导航
支付宝扫一扫 | 支付宝
支付宝扫一扫 | 支付宝
打开QQ音乐 | QQ音乐
打开豌豆荚 | 豌豆荚
打开计算器 | 计算器
打开QQ | QQ
打开计算器 | 计算器
打开豌豆荚 | 豌豆荚
给我随便放首歌 | 音乐
打开QQ音乐 | QQ音乐
打开酷狗 | 酷狗音乐
帮我打开QQ音乐 | QQ音乐
微信充值话费 | 微信
打开QQ | QQ
播放音乐 | 音乐
使用乐视视频搜索乐视手机新品发布会 | 乐视视频
我要看乐视手机新品发布会 | 乐视视频
我要看乐视手机新品发布会 | 乐视视频
我要看孤芳不自赏 | 乐视视频
我要看孤芳不自赏 | 乐视视频
操你妈打开QQ音乐 | QQ音乐
打开照相机 | 相机
查看天气 | 天气
打开音乐 | 音乐
淘宝搜索睡衣情侣 | 手机淘宝
放首歌 | 音乐
打开百词斩 | 百词斩
打开本地音乐 | 音乐
播放本地音乐 | 音乐
打开QQ | QQ
打开联系人 | 拨号
打开微信 | 微信
关闭微信 | 设置
打开微信 | 微信
关闭微信 | 设置
打开王者荣耀 | 王者荣耀
我要看乐视手机发布会 | 乐视视频
帮我打开相机 | 相机
打开短信可以吗 | 信息
今天天气怎么样 | 天气
帮我打开QQ | QQ
打开QQ | QQ
打开相机 | 相机
打开QQ | QQ
微信二维码付款 | 微信
打开应用商店 | 应用商店
打开应用商店 | 应用商店
QQ | QQ
打开美团 | 美团
播放音乐 | 音乐
查看天气 | 天气
我要看黄片 | 乐视视频
我要看黄片 | 乐视视频
我要看黄色小说 | 乐视视频
为微信付款 | 微信
查看地图 | 百度地图
外卖 | 百度外卖
打开快手 | 快手
拍照 | 相册
打开后台控制中心 | 设置
打开闹钟 | 闹钟
开启便携式热点 | 设置
开启个人热点 | 设置
打开王者荣耀 | 王者荣耀
打开QQ | QQ
打开微信 | 微信
打开QQ发消息给江西电信 | QQ
打开微信发消息给江西电信 | 微信
打开万能钥匙 | WiFi万能钥匙
打开QQ | QQ
播放音乐 | 音乐
我要听菊花台 | 音乐
我要看正者无敌 | 乐视视频
打开王者荣耀 | 王者荣耀
打开王者荣耀 | 王者荣耀
打开网易云音乐 | 网易云音乐
我打开QQ发消息给大聪 | QQ
明天九点去北京的车票 | 携程旅行
打开QQ音乐 | QQ音乐
打开网QQ | QQ
今天天气怎么样 | 天气
打开微信 | 微信
打开QQ | QQ
看一下万里的微信朋友圈 | 微信
发微信给老婆说你在干嘛 | 微信
发微信给诗诗说你在干嘛 | 微信
放手歌曲 | 音乐
打开QQ | QQ
播放播放孤芳不自赏 | 乐视视频
王者荣耀 | 王者荣耀
通讯录 | 三六零安全通讯录
打开通讯录 | 拨号
打开QQ | QQ
打开QQ群 | 微信
发短信 | 信息
打开微信朋友圈 | 微信
打开图库 | 相册
打开QQ | QQ
打开我的相机 | 相机
打开微信 | 微信
微信 | 微信
微信 | 微信
打开微信 | 微信
打开微信 | 微信
QQ | QQ
QQ | QQ
搜索百度云 | 百度云
打开微信 | 微信
打开微信 | 微信
打开微信 | 微信
我想看乐视视频 | 乐视视频
日历 | 待办事项
地图 | 百度地图
帮我记下明天晚上六点吃饭 | 便签
播放tfboys的速度 | 乐视视频
播放王俊凯的速度 | 音乐
微信扫一扫 | 微信
微信扫一扫 | 微信
打开闹钟 | 闹钟
查看天气 | 天气
手电筒 | 手电筒
手电筒 | 手电筒
微信扫一扫 | 微信
打开QQ | QQ
去微信给阿旗发红包 | 微信
打开清悠阅读 | 阅读
打开微博 | 新浪微博
拍照片 | 相机
打开应用商店 | 应用商店
音乐 | 音乐
打开应用商店下载1cho | 应用商店
打开音乐 | 音乐
微信二维码付款 | 微信
打开喜马拉雅 | 喜马拉雅FM
打开QQ | QQ
打开闹钟 | 闹钟
打开微信 | 微信
播放盛夏的果实 | 音乐
播放音乐 | 音乐
发消息给他看下 | 微信
播放盛夏的果实 | 音乐
播放当前曲目 | 乐视视频
迅雷 | 手机迅雷
打开QQ | QQ
系统更新 | 系统更新
查看天气 | 天气
放手歌曲一万个舍不得 | 音乐
打开手机QQ | QQ
酷狗音乐搜索爱我 | 酷狗音乐
打开微信 | 微信
帮我查一下双色球开奖结果 | 双色球
打开信息 | 信息
打开淘宝 | 手机淘宝
打开电视直播 | 乐视体育
打开网易云音乐 | 网易云音乐
关闭网易云音乐 | 设置
加了学习打开电视直播 | 乐视体育
打开微信 | 微信
加微信好友123 | 微信
讲故事 | 凯叔讲故事
下了学习加微信好友123 | 微信
打开相机 | 相机
打开QQ | QQ
打开管家 | 管家
打开指南针 | 指南针
打开计算器 | 计算器
播放歌曲 | 音乐
kd我发短信 | 信息
微信支付吗 | 微信
下了学习发文字朋友圈 | 微信
微信扫一扫 | 微信
微信二维码付款 | 微信
打开QQ | QQ
明天天气怎么样 | 天气
打开QQ | QQ
话费充值 | 微信
打开乐视视频 | 乐视视频
手电筒 | 手电筒
打开微信 | 微信
打开qq | QQ
打开QQ | QQ
打开微信 | 微信
发短信 | 信息
打开酷狗音乐 | 酷狗音乐
播放社会摇 | 音乐
播放音乐 | 音乐
打开音乐播放 | 音乐
打开音乐并播放 | 音乐
打开闹钟 | 闹钟
打开快手 | 快手
发红包给 | 微信
打开360手机卫士 | 三六零手机卫士
打开乐视视频 | 乐视视频
查看天气 | 天气
打开微云 | 腾讯微云
微信二维码付款 | 微信
设置主题 | 主题商店
打开QQ | QQ
打开小米运动 | 小米运动
打开静音 | 闹钟
打开静音 | 闹钟
开启静音 | 闹钟
开启静音 | 闹钟
发文字朋友圈 | 微信
用QQ音乐播放 | 音乐
用QQ音乐播放青花瓷 | QQ音乐
打开乐视金龙 | 乐视视频
打开乐视金融 | 乐视金融
打开微信群 | 微信
打开QQ群 | 微信
打开QQ群呢 | 微信
打开QQ | QQ
今天的天气怎么样 | 天气
给我打开闹钟 | 闹钟
停止闹钟 | 设置
播放音乐 | 音乐
打开hometime | HomeTime
打开全民k歌 | 全民K歌
打开录音机 | 录音机
打开系统升级 | 系统升级
讲故事 | 凯叔讲故事
摇一摇 | 微信
发朋友圈视频 | 微信
打开酷狗音乐 | 酷狗音乐
你QQ告诉珊珊来迟早 | QQ
我微信告诉老婆儿好 | 微信
播放一首歌曲吧 | 音乐
QQ充值话费 | 微信
查看天气 | 天气
都放首歌听 | 音乐
今天的天气怎么样 | 天气
我想看新闻 | 乐视视频
播放葫芦娃 | 乐视视频
打开QQ | QQ
打开微信 | 微信
发微信给医生好凶的有人卖 | 微信
放首歌听吧 | 音乐
我想看女总裁的贴身高手二 | 乐视视频
我想看女总裁的贴身高手二 | 乐视视频
我想看看你总裁的贴身高手二 | 乐视视频
打开文件管理 | 文件管理
打开酷控遥控器 | 小米遥控器
打开遥控专家酷控 | 遥控器
打开系统更新 | 系统更新
打开音乐助手 | 音乐
打开音乐bigbang | 音乐
我想听音乐逆流成河 | 音乐
打开天气播报 | 天气
打开易到用车 | 易到
打开万能钥匙 | WiFi万能钥匙
打开微信 | 微信
打开地图 | 百度地图
大众点评找川菜 | 大众点评
大众点评找粤菜 | 大众点评
小狼打开闹钟 | 闹钟
我想听追梦赤子心 | 音乐
打开QQ | QQ
打开音乐 | 音乐
打开支付宝 | 支付宝
打开图库 | 相册
发微信给姐告诉她你去哪里了 | 微信
发微信给姐问她你去哪里了 | 微信
发微信给姐夫你去哪里了 | 微信
发微信给姐你去哪里了 | 微信
发微信给一张好兄弟有人有人 | 微信
微信QQ打开 | QQ
发微信给医生好凶的告诉他我有人有人 | 微信
官道发微信 | 微信
发微信给医生好凶的 | 微信
吃饭了 | 大众点评
发微信给医生好凶的有人有人 | 微信
发微信给医生有人有人 | 微信
发微信给医生好有人有人 | 微信
发微信给医生好都忙啥呢 | 微信
拍照 | 相册
打开相机 | 相机
打开播放器放首歌听吧 | 播放器
放首歌听 | 音乐
打开QQ | QQ
打开图库 | 相册
打开联系人 | 拨号
打开信息 | 信息
打开QQ音乐 | QQ音乐
我想听追梦赤子心 | 音乐
打开QQ音乐播放告白气球 | QQ音乐
打开微信 | 微信
给自己发的微信 | 微信
关闭导航 | 设置
打开支付宝 | 支付宝
微信扫一扫 | 微信
打开王者荣耀 | 王者荣耀
打开QQ | QQ
支付宝付款 | 支付宝
支付宝扫一扫 | 支付宝
微信二维码付款 | 微信
微信二维码付款 | 微信
打开腾讯视频 | 腾讯视频
QQ浏览器搜索老婆3 | QQ浏览器
用QQ浏览器搜索小米官网 | QQ浏览器
WPS | WPSOffice
打开微博 | 新浪微博
微信充值话费 | 微信
打开酷狗有没 | 酷狗音乐
播放姜浩的歌 | 乐视视频
播放姜浩一的过客 | 乐视视频
播放王歌慧的QQ | 乐视视频
打开搜狗阅读 | 搜狗阅读
打开微信 | 微信
打开微信摇一摇 | 微信
打开微信摇一摇 | 微信
打开爱奇艺 | 爱奇艺
放首歌吧 | 音乐
放首好听的歌 | 音乐
导航 | 高德导航
今天天气怎么样 | 天气
打开墨迹天气看看天气 | 墨迹天气
打开QQ | QQ
我想看周星驰的电影 | 乐视视频
重庆到北京的飞机票 | 携程旅行
公司帮我打一辆车 | 易到
就是正常的吗不去看周边的电影 | 乐视视频
打开王者荣耀 | 王者荣耀
淘宝搜索夹克男 | 手机淘宝
我要建群 | 微信
给老公发微信说晚上晚点吃饭 | 微信
打开音乐 | 音乐
播放音乐 | 音乐
微信扫一扫 | 微信
淘宝搜索高领毛衣男 | 手机淘宝
打开王者荣耀 | 王者荣耀
打开天气 | 天气
我要看了是汽车ff19发布会 | 乐视视频
打开高德地图 | 高德地图
播放15838260960 | 乐视视频
打开QQ浏览器 | QQ浏览器
打开我的电子邮件 | 电子邮件
打开微信 | 微信
看看狗狗在家做什么 | 乐视视频
看看虎妞在干什么 | 乐视视频
打开我的淘宝购物车 | 手机淘宝
打开QQ | QQ
打开微信 | 微信
打开QQ | QQ
打开QQ音乐 | QQ音乐
播放心理罪 | 乐视视频
播放心理罪 | 乐视视频
打开网易云音乐 | 网易云音乐
打开QQ禾场 | QQ
播放心理罪 | 乐视视频
打开信息 | 信息
播放心理罪 | 乐视视频
微信扫一扫 | 微信
打开微信 | 微信
打开腾讯视频 | 腾讯视频
打开支付宝 | 支付宝
打开乐视视频 | 乐视视频
打开QQ | QQ
打开乐视视频 | 乐视视频
打开高德地图 | 高德地图
帮我打开QQ进入QQ空间 | QQ
帮我打开一键锁屏 | 一键锁屏
帮我播放一首歌 | 音乐
帮我播放绅士 | 音乐
计算器 | 计算器
QQ | QQ
打开QQ打开QQ | QQ
帮我打开QQ进入QQ空间 | QQ
帮我关闭QQ音乐 | 设置
